sampling,plot,code_old,code,abundance,nind_m2,OBS
14,8,cegl,cegl,3,1,
14,11,gemo,gemo,3,1,
14,11,rapa,rapa,6,2,
14,11,visa,visa,3,1,
14,13,hysp,asteraceae,6,2,
14,13,trdu,trdu,3,1,
15,1,cadi,cadi,3,1,
15,2,plla,plla,3,1,
15,8,rapa,rapa,30,10,
15,10,gemo,gemo,3,1,
15,13,hysp,asteraceae,6,2,
16,3,melu,melu,3,1,
16,4,cadi,cadi,3,1,
16,4,trre,trre,3,1,
16,13,sevu,asteraceae,3,1,
16,15,trdu,trdu,3,1,
16,15,veof,veof,3,1,
17,3,gedi,gedi,3,1,
17,6,hysp,asteraceae,3,1,
17,11,cadi,cadi,3,1,
13,1,fear,fear,25,8,
13,15,mear,mear,10,3,
13,14,bepe,bepe,7,2,
15,9,gedi,gedi,7,2,
15,15,melu,melu,7,2,
16,6,sevu,asteraceae,7,2,
16,15,mear,mear,7,2,
17,8,gedi,gedi,7,2,
17,13,mear,mear,22,6,
16,2,dagl,dagl,15,4,
13,7,rabu,rabu,8,2,
13,11,trre,trre,4,1,
14,2,dagl,dagl,12,3,
14,3,fear,fear,4,1,
14,5,cabu,cabu,4,1,
14,6,cisp,cisp,4,1,
14,15,tosp,tosp,4,1,
15,3,melu,melu,4,1,
15,9,rabu,rabu,8,2,
15,13,visa,visa,4,1,
16,1,cadi,cadi,4,1,
16,3,fear,fear,4,1,
16,5,visa,visa,8,2,
16,9,hysp,asteraceae,4,1,
16,14,fear,fear,4,1,
17,1,shar,shar,4,1,
17,4,cadi,cadi,4,1,
17,10,melu,melu,4,1,
17,10,sevu,asteraceae,4,1,
17,1,poaceae,poaceae,17,4,
16,13,gemo,gemo,14,3,
13,9,dagl,dagl,5,1,
13,10,asteraceae,asteraceae,30,6,
13,13,cabu,cabu,5,1,
14,1,poaceae,poaceae,20,4,
14,9,fear,fear,5,1,
15,3,fear,fear,5,1,
16,3,dagl,dagl,5,1,
16,5,gedi,gedi,5,1,
16,6,cisp,cisp,5,1,
16,8,pore,pore,5,1,
16,9,fear,fear,10,2,
16,12,mear,mear,25,5,
16,13,gedi,gedi,10,2,
16,13,visa,visa,5,1,
17,2,poaceae,poaceae,50,10,
17,3,dagl,dagl,5,1,
17,3,fear,fear,5,1,
17,6,cisp,cisp,5,1,
17,12,melu,melu,5,1,
17,12,tosp,tosp,5,1,
17,15,crca,asteraceae,5,1,
17,13,tosp,tosp,16,3,
16,5,fear,fear,11,2,
14,15,mear,mear,12,2,
15,3,dagl,dagl,6,1,
15,5,fear,fear,6,1,
15,6,cisp,cisp,6,1,
17,1,cadi,cadi,6,1,
17,5,hysp,asteraceae,12,2,
17,13,sevu,asteraceae,6,1,
17,15,veof,veof,6,1,
17,1,fear,fear,37,6,
15,1,fear,fear,25,4,
14,13,gedi,gedi,13,2,
14,5,gedi,gedi,7,1,
14,6,mear,mear,7,1,
14,7,tosp,tosp,7,1,
15,14,fear,fear,7,1,
16,13,hysp,asteraceae,7,1,
13,13,gemo,gemo,8,1,
13,14,dagl,dagl,8,1,
14,6,poaceae,poaceae,8,1,
15,7,fear,fear,8,1,
15,14,dagl,dagl,8,1,
16,6,fear,fear,16,2,
17,13,hysp,asteraceae,9,1,
13,7,fear,fear,20,2,
14,9,dagl,dagl,10,1,
15,13,gedi,gedi,20,2,
16,14,dagl,dagl,10,1,
17,14,dagl,dagl,10,1,
16,1,fear,fear,35,3,
14,4,sevu,asteraceae,12,1,
15,4,cisp,cisp,12,1,
15,4,sevu,asteraceae,12,1,
16,4,sevu,asteraceae,12,1,
17,4,sevu,asteraceae,12,1,
15,10,cisp,cisp,25,2,
16,10,cisp,cisp,25,2,
16,4,cisp,cisp,13,1,
14,7,poaceae,poaceae,80,6,
17,12,mear,mear,40,3,
13,13,sevu,asteraceae,15,1,
14,4,cisp,cisp,15,1,
14,14,dagl,dagl,15,1,
15,6,fear,fear,15,1,
17,4,cisp,cisp,15,1,
17,14,fear,fear,15,1,
14,10,cisp,cisp,35,2,
13,6,fear,fear,18,1,
17,6,fear,fear,18,1,
17,7,fear,fear,18,1,
14,6,fear,fear,20,1,
16,7,fear,fear,20,1,
17,10,cisp,cisp,40,2,
14,11,poaceae,poaceae,70,3,
11,10,kisp,kisp,1,1,introducido a mano
8,15,amsp,amsp,40,1,introducido a mano
